name;muslimPopulation;pop2020;muslim%;worldMuslim%
Indonesia2;229000000;273523.6150;87.2000;12.7000
Pakistan;200400000;220892.3400;96.5000;11.1000
Bangladesh;153700000;164689.3830;90.4000;9.2000
Nigeria;99000000;206139.5890;49.6000;5.3000
Egypt;87500000;102334.4040;92.3500;4.9000
Iran;82500000;83992.9490;99.4000;4.6000
Turkey;79850000;84339.0670;99.2000;4.6000
Algeria;41240913;43851.0440;99;2.7000
Sudan;39585777;43849.2600;97;1.9000
Iraq;38465864;40222.4930;95.7000;1.9000
Morocco;37930989;36910.5600;99;2
Afghanistan;34836014;38928.3460;99.6000;1.8000
Saudi Arabia;31878000;34813.8710;97.1000;1.6000
Yemen;27784498;29825.9640;99.1000;1.5000
Uzbekistan;26550000;33469.2030;96.5000;1.7000
Niger;21101926;24206.6440;98.3000;1
Mali;17508398;20250.8330;95;0.8000
Syria;16700000;17500.6580;93;1
Malaysia;16318355;32365.9990;61.3000;1.1000
Senegal;15112721;16743.9270;96.1000;0.8000
Kazakhstan;13158672;18776.7070;70.2000;0.5000
Burkina Faso;12141769;20903.2730;61.5000;0.6000
Tunisia;11190000;11818.6190;99.8000;0.6000
Somalia;10978000;15893.2220;99.8000;0.6000
Guinea;10563171;13132.7950;89.1000;0.5000
Jordan;10165577;10203.1340;97.2000;0.4000
Azerbaijan;9735074;10139.1770;96.9000;0.5000
Chad;9183207;16425.8640;58;0.4000
Tajikistan;7621700;9537.6450;96.7000;0.4000
Libya;6551871;6871.2920;97;0.4000
Sierra Leone;6067706;7976.9830;78.6000;0.3000
Turkmenistan;4830000;6031.2000;93.3000;0.3000
Kyrgyzstan;4679436;6524.1950;80;0.3000
United Arab Emirates;4615081;9890.4020;76;0.2000
Mauritania;3840429;4649.6580;100;0.2000
Lebanon;3519743;6825.4450;57.7000;0.2000
Oman;2427000;5106.6260;85.9000;0.2000
Kuwait;2175684;4270.5710;74.6000;0.2000
Albania;1797645;2877.7970;58.8000;0.1000
Qatar;1566786;2881.0530;77.5000;0.1000
Bahrain;1063239;1701.5750;73.7000;0
Djibouti;857496;988;97;0.1000
Western Sahara;599633;597.3390;99.4000;0
Maldives;386193;540.5440;98.4000;0
Brunei;355045;437.4790;78.8000;0
Mayotte;253439;272.8150;97;0